Id	Output	PredictedCharacters
766	a_raser	['a', 'n', 'r', 'l', 't', 's', 'u', 'e', 'o', 'i', 'y', 'c']
767	a_ra__	['a', 'r', 'u', 'e', 'o', 'i', 'y', 'c', 'p', 'w']
768	a_rasin_	['a', 'n', 'i', 'r', 'l', 't', 's', 'u', 'e', 'o', 'y', 'c', 'p']
769	a_rasiometer	['a', 'n', 'r', 'l', 't', 's', 'e', 'd', 'h', 'm', 'i', 'o', 'u', 'y', 'c', 'p']
770	a_rasion	['a', 'n', 'r', 'l', 't', 's', 'e', 'h', 'i', 'u', 'o', 'y', 'c', 'p']
771	a_rasions	['a', 'n', 'i', 'r', 'l', 't', 'e', 'o', 's', 'u', 'y', 'c', 'p', 'z']
772	a_rasi_e	['a', 'n', 'r', 'l', 't', 's', 'e', 'h', 'i', 'u', 'o', 'y', 'c']
773	a_rasivel_	['a', 'n', 'r', 'l', 't', 'e', 'd', 's', 'h', 'm', 'i', 'c', 'g', 'v', 'u']
774	a_rasiveness	['a', 'n', 'i', 'r', 'l', 't', 's', 'e', 'd', 'c', 'm', 'g', 'v', 'u', 'o']
775	a_rasi_es	['a', 'n', 'r', 'l', 't', 's', 'e', 'd', 'h', 'm', 'i', 'c', 'g']
776	a_rastol	['a', 'n', 'r', 'l', 't', 's', 'u', 'e', 'o', 'i', 'y', 'c', 'p', 'm']
777	a_rau_	['a', 'r', 'u', 'e', 'o', 'i', 'y', 'c', 'p', 'x', 't']
778	a_ra_as	['a', 'r', 'n', 'l', 't', 'm', 's', 'c', 'd', 'h', 'i']
779	a_ra_ite	['a', 'n', 'r', 'l', 't', 's', 'm', 'e', 'i', 'd', 'k', 'h', 'c']
780	a_ra_iti_	['a', 'n', 'r', 'l', 't', 's', 'm', 'e', 'i', 'd', 'k', 'h']
781	a_ra_o	['a', 'r', 'u', 'e', 'o', 'i', 'y', 'c', 'p', 'k', 's']
782	a_ra__s	['a', 'n', 'r', 'l', 't', 's', 'm', 'c', 'd', 'i', 'k']
783	abreac_	['a', 'r', 'i', 'e', 'u', 'o', 'y', 'c', 'p', 'b', 'k', 'v', 'l']
784	a_reacte_	['a', 'n', 'r', 'i', 'e', 'l', 't', 's', 'c', 'u', 'o', 'y', 'p']
785	abreactin_	['a', 'n', 'i', 'r', 'e', 'l', 't', 's', 'c', 'u', 'o', 'y', 'p', 'x', 'b', 'v']
786	a_reaction	['a', 'n', 'r', 'i', 'e', 'l', 't', 's', 'c', 'u', 'o', 'y', 'p', 'j', 'f', 'x']
787	a_reactions	['a', 'n', 'i', 'e', 'o', 'r', 'l', 't', 's', 'c', 'u', 'y', 'p', 'k', 'h', 'd', 'j']
788	a_reacts	['a', 'n', 'r', 'i', 'e', 'l', 't', 's', 'c', 'u', 'o', 'y', 'p', 'f']
789	a_rea__	['a', 'r', 'i', 'e', 'u', 'o', 'y', 'c', 'p', 'f', 'w']
790	a_ree_	['a', 'u', 'e', 'r', 'o', 'i', 'y', 'c', 'p', 'n', 'g']
791	abre_e	['a', 'u', 'e', 'r', 'o', 'i', 'y', 'c', 'p', 'w', 'b', 's']
792	a_rei_	['a', 'u', 'e', 'r', 'o', 'i', 'y', 'c', 'p', 'g', 'm', 'q']
793	a_renounce	['a', 'u', 'r', 'e', 'n', 'o', 'i', 'y', 'c', 'p', 'q', 'g', 'd', 'v', 'f']
794	a_renunciate	['a', 'r', 'e', 'n', 'i', 'o', 't', 'd', 's', 'g', 'k', 'c', 'u', 'y', 'p', 'w']
795	a_renunciation	['a', 'n', 'e', 'i', 'r', 'l', 't', 'o', 'd', 's', 'g', 'k', 'c', 'u', 'y', 'p', 'z']
796	a_reption	['a', 'u', 'e', 'r', 'n', 's', 'l', 'd', 't', 'i', 'c', 'o', 'p', 'y', 'g', 'v']
797	a_re_	['a', 'u', 'e', 'r', 'o', 'i', 'y', 'c', 'p', 'h', 'q']
798	abreu_oir	['a', 'u', 'r', 'o', 'n', 'l', 't', 's', 'm', 'e', 'c', 'i', 'b', 'd', 'k']
799	a__i	['a', 'u', 'e', 'o', 'i', 'y', 'c', 'p', 'k', 'z']
800	a_rico	['a', 'u', 'e', 'o', 'i', 'r', 'y', 'c', 'p', 's', 'v', 'd', 'm']
801	a_ricock	['a', 'u', 'e', 'o', 'r', 'i', 'n', 'c', 'y', 'p', 'k', 'm', 'j', 'z']
802	a_rico_	['a', 'u', 'e', 'o', 'r', 'i', 'n', 'c', 'y', 'p', 'f', 'g', 'q']
803	abri__able	['a', 'n', 'r', 'e', 'l', 'i', 's', 'u', 't', 'b', 'm', 'h', 'c', 'k']
804	a_ri__e	['a', 'u', 'e', 'o', 'i', 'n', 'r', 's', 'c', 'l', 't', 'm']
805	abridgeable	['a', 'n', 'r', 'e', 'l', 'i', 's', 'u', 't', 'b', 'd', 'h', 'g']
806	a_ridged	['a', 'u', 'e', 'r', 'l', 'i', 'n', 't', 's', 'd', 'h', 'g', 'o', 'y']
807	a_rid_edl_	['a', 'u', 'e', 'r', 'n', 'l', 'i', 's', 'o', 't', 'c', 'p', 'd', 'h']
808	a_ridgement	['a', 'u', 'e', 'r', 'n', 'l', 's', 't', 'd', 'i', 'm', 'h', 'g', 'o', 'y', 'c', 'p']
809	a_ridgements	['a', 'u', 'e', 'r', 'n', 'l', 's', 't', 'd', 'i', 'm', 'h', 'g', 'o', 'y', 'c', 'p', 'f']
810	a_ridger	['a', 'u', 'e', 'r', 'l', 'i', 'n', 't', 's', 'd', 'h', 'g', 'o', 'y']
811	a_ridgers	['a', 'u', 'e', 'r', 'l', 'i', 'n', 't', 's', 'd', 'h', 'g', 'o', 'y', 'c']
812	a_ridges	['a', 'u', 'e', 'r', 'l', 'i', 'n', 't', 's', 'd', 'h', 'g', 'o', 'y', 'c']
813	a_ri__in_	['a', 'u', 'e', 'o', 'i', 'n', 'r', 'l', 't', 's', 'c', 'h']
814	a_ridgment	['a', 'u', 'e', 'r', 'l', 'i', 'n', 't', 's', 'd', 'h', 'm', 'o', 'y', 'g', 'c', 'p']
815	a_ridgments	['a', 'u', 'e', 'r', 'n', 'l', 'i', 't', 's', 'd', 'h', 'm', 'o', 'y', 'g', 'c', 'p', 'x']
816	a_ri_	['a', 'u', 'e', 'o', 'i', 'r', 'y', 'c', 'p', 'k', 'w']
817	a_ri_	['a', 'u', 'e', 'o', 'i', 'r', 'y', 'c', 'p', 'h', 'q']
818	a_ri_e	['a', 'u', 'e', 'o', 'i', 'r', 'y', 'c', 'p', 'd', 'm', 't']
819	abris	['a', 'u', 'e', 'o', 'i', 'r', 'y', 'c', 'p', 'w', 'b', 's']
820	a_rist_e	['a', 'u', 'e', 'o', 'i', 'n', 'r', 's', 't', 'y', 'c', 'p', 'v', 'z']
821	a_r_a__	['a', 'r', 'i', 'e', 't', 's', 'm', 'l', 'n', 'd']
822	a_road	['a', 'r', 'i', 'e', 't', 's', 'm', 'l', 'n', 'd', 'o', 'u']
823	a_rocoma	['a', 'u', 'e', 'o', 'r', 'n', 'l', 't', 's', 'm', 'c', 'i', 'y']
824	a_rocome	['a', 'u', 'e', 'o', 'r', 'n', 'l', 't', 's', 'm', 'c', 'i', 'y', 'p']
825	abro_able	['a', 'n', 'r', 'e', 'l', 'i', 's', 'u', 't', 'b', 'm', 'h', 'o', 'c']
826	a_ro_ate	['a', 'r', 'e', 'm', 'l', 'i', 'h', 'o', 'n', 't', 's', 'c', 'd']
827	a_ro_ated	['a', 'n', 'r', 'e', 'l', 't', 'm', 'i', 'h', 'o', 's', 'c', 'd', 'w']
828	a_ro_ates	['a', 'n', 'r', 'e', 'l', 't', 'm', 'i', 'h', 'o', 's', 'c', 'd', 'w']
829	a_ro_atin_	['a', 'n', 'i', 'r', 'l', 't', 'e', 'm', 'h', 'o', 's', 'c', 'd', 'w']
830	a_ro_ation	['a', 'n', 'r', 'e', 'l', 'm', 'i', 't', 'h', 'o', 's', 'c', 'd', 'w']
831	a_rogations	['a', 'n', 'i', 'r', 'l', 't', 'e', 'o', 'm', 's', 'c', 'd', 'w', 'g', 'u', 'y']
832	a_ro_ati_e	['a', 'n', 'r', 'e', 'l', 'm', 'i', 't', 'h', 'o', 's', 'c', 'd', 'w']
833	a_ro_ator	['a', 'n', 'r', 'e', 'l', 'm', 'i', 't', 'h', 'o', 's', 'c']
834	a_ro_ators	['a', 'n', 'r', 'e', 'l', 'm', 'i', 't', 'o', 's', 'c', 'd', 'w']
835	abro_a	['a', 'u', 'e', 'o', 'r', 'i', 'y', 'c', 'p', 'b', 'g', 'q']
836	abronia	['a', 'u', 'e', 'o', 'n', 'r', 'i', 'y', 'c', 'p', 'b']
837	a_roo_	['a', 'u', 'e', 'o', 'r', 'i', 'y', 'c', 'p', 'w', 'k']
838	a_rook	['a', 'u', 'e', 'o', 'r', 'i', 'y', 'c', 'p', 'k', 'z', 'v']
839	a_rosia	['a', 'u', 'e', 'o', 'n', 'r', 'l', 's', 'i', 'y', 'c', 'p', 'q']
840	a_rosias	['a', 'r', 'e', 'm', 'l', 'i', 'o', 'n', 't', 's', 'u', 'y', 'c']
841	a_rotanum	['a', 'n', 'r', 'e', 'm', 'l', 'i', 'h', 'o', 't', 'u', 'y', 'c', 'p', 'v']
842	a_rotin	['a', 'u', 'e', 'o', 'n', 'r', 'l', 's', 'm', 't', 'i', 'y', 'c', 'p']
843	a_rotine	['a', 'u', 'e', 'o', 'n', 'i', 'r', 'l', 't', 'y', 'c', 'p', 'g', 'h', 'x']
844	a_rup_	['a', 'u', 'o', 'r', 'e', 'i', 'y', 'c', 'p', 'w', 'd', 'z']
845	abruptedly	['a', 'u', 'r', 'n', 's', 'l', 'e', 'i', 'o', 't', 'c', 'p', 'd', 'y', 'z', 'b']
846	a_rupter	['a', 'u', 'r', 'n', 's', 'l', 't', 'e', 'i', 'c', 'o', 'p', 'y', 'f']
847	a_ruptest	['a', 'u', 'r', 'n', 's', 'e', 'l', 't', 'i', 'c', 'o', 'p', 'y', 'h', 'm']
848	a_ruptio	['a', 'u', 'r', 'n', 's', 'l', 't', 'e', 'i', 'c', 'o', 'p', 'y', 'j', 'm']
849	abruption	['a', 'u', 'r', 'n', 's', 'l', 't', 'e', 'i', 'c', 'o', 'p', 'y', 'w', 'g', 'b']
850	a_ruptiones	['a', 'u', 'r', 'n', 'i', 'e', 'o', 'l', 't', 's', 'c', 'p', 'y', 'd', 'g', 'z', 'j', 'h']
851	a_ruptly	['a', 'u', 'r', 'n', 's', 'l', 'e', 'i', 'o', 't', 'c', 'p', 'y', 'j', 'v']
852	a_ruptness	['a', 'u', 'r', 'n', 'i', 'o', 'e', 's', 'l', 't', 'c', 'p', 'y', 'z', 'f', 'j']
853	a_ru_	['a', 'u', 'o', 'r', 'e', 'i', 'y', 'c', 'p', 'x', 'g']
854	a__	['a', 'u', 'e', 'o', 'i', 'y', 'c', 'p', 'g']
855	a_sal_m	['a', 'n', 'r', 'l', 'm', 'h', 't', 'c', 'i', 's', 'u', 'e']
856	absampere	['a', 'n', 'r', 'e', 'l', 'm', 'i', 'b', 'p', 'o', 'h', 's']
857	a__aro_a	['a', 'n', 'r', 'e', 'm', 'l', 'i', 'h', 'o', 't', 'c']
858	a_sarokite	['a', 'n', 'r', 'e', 'm', 'l', 'i', 'h', 'o', 't', 's', 'd', 'v', 'u', 'k', 'y']
859	a_scam	['a', 'r', 'm', 'l', 'h', 't', 'n', 'c', 'i', 's', 'u', 'e']
860	a_s_ess	['a', 'u', 'e', 'r', 'l', 't', 'n', 'd', 'h', 's', 'i']
861	a_scesse_	['a', 'u', 'e', 'r', 'n', 'l', 's', 't', 'h', 'i', 'c', 'o']
862	a_scesses	['a', 'u', 'e', 'r', 'n', 'l', 's', 't', 'h', 'i', 'c', 'o']
863	a_scessin_	['a', 'u', 'e', 'r', 'n', 'i', 'l', 's', 't', 'h', 'c', 'o', 'y', 'p']
864	a_scession	['a', 'u', 'e', 'r', 'n', 'l', 's', 't', 'h', 'i', 'c', 'o', 'y', 'p', 'q']
865	acanthocar_o_s	['a', 'n', 'r', 'e', 'm', 'l', 'i', 'g', 'h', 's', 'c', 't', 'o', 'd', 'b', 'k']
866	acanthocephala	['a', 'n', 'r', 'm', 'l', 'e', 's', 't', 'h', 'c', 'i', 'o', 'd', 'p']
867	acanthocephalan	['a', 'r', 'n', 'l', 'm', 'e', 's', 't', 'h', 'c', 'i', 'o', 'd', 'p']
868	acanthocephali	['a', 'n', 'r', 'm', 'l', 'e', 's', 't', 'h', 'c', 'i', 'o', 'd', 'p']
869	acanthocephalous	['a', 'n', 'r', 'l', 'm', 'e', 's', 't', 'i', 'h', 'c', 'o', 'd', 'p', 'u']
870	acanthocereus	['a', 'n', 'e', 'r', 'l', 't', 'i', 'd', 'h', 's', 'm', 'b', 'g', 'v', 'o', 'c', 'u']
871	acanthocladous	['a', 'n', 'r', 'l', 'e', 't', 'i', 's', 'm', 'o', 'c', 'h', 'd', 'u']
872	acanthodea	['a', 'n', 'e', 'r', 'l', 't', 'i', 'd', 'o', 'h', 'u', 'y', 'c']
873	acanthodean	['a', 'n', 'r', 'm', 'l', 'e', 't', 'i', 'd', 'o', 'h', 'u', 'y', 'c']
874	acanthodei	['a', 'n', 'e', 'r', 'l', 't', 'i', 'd', 'o', 'h', 'u', 'y', 'c']
875	acanthode_	['a', 'n', 'e', 'r', 'l', 't', 'i', 'd', 'o', 'h', 'u', 'y', 'c', 'p', 'f', 'x']
876	acanthodian	['a', 'n', 'r', 'm', 'l', 'e', 'g', 'h', 's', 'c', 't', 'i', 'd', 'o']
877	acanthodidae	['a', 'n', 'r', 'm', 'l', 'e', 'g', 'h', 's', 'c', 't', 'i', 'd', 'o']
878	a_anthodii	['a', 'n', 'e', 'g', 'i', 'r', 'l', 't', 'o', 's', 'h', 'm', 'd', 'u', 'y']
879	a_anthodini	['a', 'n', 'i', 'r', 'e', 'l', 'g', 't', 'o', 's', 'h', 'm', 'd', 'u', 'y']
880	acanthoi_	['a', 'n', 'e', 'g', 'i', 'r', 'l', 't', 'o', 'h', 'u', 'y', 'c', 'p', 'z']
881	acantholimon	['a', 'n', 'e', 'g', 'i', 'r', 'l', 's', 'c', 'd', 't', 'o', 'h', 'm']
882	acantholysis	['a', 'n', 'e', 'g', 'i', 'r', 'l', 't', 'o', 'h', 'd', 's', 'u', 'y', 'c']
883	acanthology	['a', 'n', 'e', 'g', 'i', 'd', 't', 'o', 'r', 'l', 'h', 'u', 'y', 'c']
884	acantholo_ical	['a', 'n', 'r', 'm', 'l', 'e', 'i', 't', 's', 'c', 'o', 'h', 'd', 'v', 'u', 'k']
885	acantho_a	['a', 'n', 'e', 'g', 'i', 'd', 't', 'o', 'r', 'h', 'u', 'y', 'c', 'p']
886	acanthoma_	['a', 'n', 'r', 'm', 'e', 'g', 'i', 'd', 't', 'o', 'h', 'u', 'y', 'c', 'p']
887	acanthomeridae	['a', 'n', 'r', 'e', 'm', 'l', 'i', 't', 's', 'c', 'd', 'o', 'h']
888	acanthon	['a', 'n', 'e', 'g', 'i', 'd', 't', 'o', 'r', 'h', 'u', 'y', 'c']
889	acanth__ana_	['a', 'r', 'n', 'm', 'l', 'e', 'g', 'h', 's', 'c', 't', 'i', 'b']
890	acanthophis	['a', 'n', 'e', 'g', 'i', 'r', 'l', 't', 'o', 'h', 's', 'c', 'p']
891	acanthophorous	['a', 'n', 'e', 'g', 'i', 'd', 't', 'o', 'r', 'h', 's', 'c', 'p', 'u']
892	acanthopod	['a', 'n', 'e', 'g', 'i', 'd', 't', 'o', 'r', 'l', 'h', 's', 'm', 'c', 'p']
893	acanthopodous	['a', 'n', 'e', 'g', 'i', 'd', 't', 'o', 'r', 'l', 'h', 's', 'm', 'c', 'p', 'u']
894	acanthopomatous	['a', 'n', 'r', 'l', 'm', 'e', 't', 'i', 'o', 'h', 's', 'c', 'd', 'p', 'u']
895	acanthopore	['a', 'n', 'e', 'g', 'i', 'd', 't', 'o', 'r', 'l', 'h', 's', 'm', 'c', 'p']
896	acanthopteran	['a', 'n', 'r', 'e', 'l', 't', 's', 'i', 'o', 'h', 'u', 'c', 'p']
897	acanthopteri	['a', 'n', 'e', 'r', 'l', 't', 's', 'i', 'o', 'h', 'u', 'c', 'p']
898	acanthopter__ian	['a', 'n', 'r', 'e', 'm', 'l', 'i', 't', 's', 'o', 'h', 'u', 'c', 'p', 'd', 'k', 'v', 'b']
899	acanthopter__ii	['a', 'n', 'e', 'r', 'l', 'i', 't', 's', 'o', 'h', 'u', 'c', 'p', 'd', 'm', 'k', 'v', 'b']
900	acanthopterous	['a', 'n', 'e', 'r', 'l', 'i', 't', 's', 'o', 'h', 'u', 'c', 'p']
901	acanthoses	['a', 'n', 'e', 'r', 'l', 't', 'i', 'd', 'h', 's', 'o', 'u', 'y', 'c']
902	acanthosis	['a', 'n', 'e', 'g', 'i', 'r', 'l', 't', 'o', 's', 'h', 'u', 'y', 'c']
903	acanthotic	['a', 'n', 'e', 'g', 'i', 'r', 'l', 't', 's', 'o', 'h', 'u', 'y', 'c']
904	acanthou_	['a', 'n', 'e', 'g', 'i', 'd', 't', 'o', 'r', 'h', 'u', 'y', 'c', 'p', 'q']
905	acanthuridae	['a', 'n', 'r', 'e', 'm', 'l', 'i', 't', 's', 'c', 'd', 'o', 'u', 'h']
906	acanthuru_	['a', 'n', 'e', 'g', 'i', 'd', 't', 'o', 'r', 'u', 'h', 'y', 'c', 'p', 'v']
907	acanthu_	['a', 'n', 'e', 'g', 'i', 'd', 't', 'o', 'r', 'h', 'u', 'y', 'c', 'p']
908	acanthuses	['a', 'n', 'e', 'r', 'l', 't', 'i', 'd', 'h', 's', 'o', 'u', 'y', 'c']
909	acanthuthi	['a', 'n', 'e', 'g', 'i', 'd', 't', 's', 'o', 'r', 'h', 'u', 'y', 'c']
910	a_a_nia	['a', 'n', 'i', 'r', 'e', 'u', 'o', 's', 'y', 'g', 't']
911	a_a_nia_	['a', 'n', 'i', 'r', 'e', 'u', 'o', 's', 'y', 'g', 't']
912	a_a_nias	['a', 'n', 'i', 'r', 'e', 'u', 'o', 's', 'y', 'g', 't', 'l']
913	a_a__ella	['a', 'n', 'r', 'l', 't', 'e', 'd', 's', 'h', 'm', 'i']
914	a_a_sular	['a', 'n', 'r', 'l', 't', 'e', 's', 'i', 'o', 'u', 'd', 'm', 'y']
915	acapu	['a', 'u', 'e', 'o', 'i', 'y', 'c', 'p']
916	aca__lco	['a', 'n', 'r', 'l', 't', 'e', 's', 'i', 'm', 'o', 'c', 'd']
917	aca_a	['a', 'u', 'e', 'o', 'i', 'y', 'c', 'p', 'x', 'g']
918	acara_is	['a', 'r', 'n', 'l', 't', 's', 'm', 'c', 'd', 'i', 'k', 'h', 'v']
919	acarari	['a', 'r', 'u', 'e', 'o', 'i', 'y', 'c']
920	acardia	['a', 'n', 'r', 'e', 'i', 't', 's', 'd', 'u', 'o', 'y', 'c']
921	a_ardia_	['a', 'n', 'r', 'e', 'm', 'l', 'i', 't', 's', 'd', 'u', 'o']
922	acardite	['a', 'n', 'r', 'e', 'i', 't', 's', 'd', 'u', 'o', 'y', 'c']
923	aca_i	['a', 'u', 'e', 'o', 'i', 'y', 'c', 'p', 'q', 'm', 'w']
924	acarian	['a', 'n', 'r', 'i', 'u', 'e', 'o', 'y', 'c']
925	acariasis	['a', 'n', 'r', 'i', 'l', 't', 's', 'u', 'e', 'o', 'y', 'c']
926	acariatre	['a', 'n', 'r', 'i', 't', 'u', 'e', 'o', 'y', 'c']
927	acaricidal	['a', 'n', 'r', 'e', 'm', 'l', 'i', 't', 's', 'c', 'd']
928	acaricide	['a', 'n', 'r', 'e', 'i', 'l', 't', 's', 'd', 'm', 'c']
929	acari_	['a', 'n', 'r', 'u', 'e', 'o', 'i', 'y', 'c', 'p', 's', 'q']
930	acari_a	['a', 'n', 'r', 'e', 'i', 'u', 'o', 'y', 'c', 'p', 't', 'v']
931	acaridae	['a', 'n', 'r', 'e', 'm', 'l', 'i', 't', 's', 'c', 'd']
932	acaridan	['a', 'n', 'r', 'e', 'm', 'l', 'i', 't', 's', 'c', 'd']
933	acaridans	['a', 'n', 'r', 'e', 'm', 'l', 'i', 't', 's', 'c', 'd']
934	acaridea	['a', 'n', 'r', 'e', 'l', 'i', 't', 's', 'd', 'u', 'o', 'y', 'c']
935	acaridean	['a', 'n', 'r', 'e', 'l', 'i', 't', 's', 'd', 'u', 'o', 'y', 'c']
936	acaridomatia	['a', 'n', 'r', 'e', 'l', 'm', 'i', 't', 's', 'c', 'o', 'd']
937	acaridomatium	['a', 'n', 'r', 'e', 'l', 'm', 'i', 't', 's', 'c', 'o', 'd', 'u']
938	acari__	['a', 'n', 'r', 'e', 'i', 'u', 'o', 'y', 'c', 'p', 'm', 'x']
939	acari_orm	['a', 'n', 'r', 'e', 'i', 'o', 'c', 'l', 't', 's', 'm', 'd', 'g', 'k']
940	acarina	['a', 'n', 'i', 'r', 'u', 'e', 'o', 'y', 'c']
941	acarine	['a', 'n', 'i', 'r', 'u', 'e', 'o', 'y', 'c']
942	acarine_	['a', 'n', 'i', 'r', 'u', 'e', 'o', 'y', 'c', 'p', 'h', 'z', 'j', 'l']
943	a_arinosis	['a', 'n', 'i', 'r', 'e', 'l', 'g', 't', 'd', 'h', 's', 'o', 'u', 'y']
944	acarocecidia	['a', 'n', 'r', 'e', 'l', 'i', 's', 't', 'd', 'm', 'c', 'o']
945	acarocecidium	['a', 'n', 'r', 'e', 'l', 'i', 's', 't', 'd', 'm', 'c', 'o', 'u']
946	acarodermatitis	['a', 'n', 'r', 'i', 'l', 't', 'e', 's', 'm', 'o', 'd', 'u', 'y', 'c']
947	acaroid	['a', 'n', 'r', 'e', 'i', 't', 's', 'd', 'l', 'o', 'u', 'y', 'c']
948	acaro_	['a', 'n', 'r', 'u', 'e', 'o', 'i', 'y', 'c', 'p', 'm', 'g']
949	acarology	['a', 'n', 'r', 'e', 'i', 'o', 'l', 'u', 'y', 'c', 'p', 'g']
950	acarolo_ist	['a', 'n', 'r', 'e', 'i', 'l', 'o', 't', 's', 'm', 'd', 'v', 'u', 'k', 'c', 'w']
951	acarophilous	['a', 'n', 'r', 'e', 'i', 'l', 'o', 't', 'h', 's', 'c', 'g', 'p', 'u']
